id,osm_id,nome,nome_fr,quota_m,tag_altitudine,lat,lon,valle,provincia,gruppo_montuoso,prominenza_m,croce_vetta,difficolta_via_normale,dislivello_via_normale_m,rifugio_appoggio,wikidata,wikipedia,salita_personale,data_salita,note
583,1872476406,Losas,,2837,2500+,44.6980599,7.0797586,Valle Varaita,TO,Alpi Cozie Sud,,,,,,Q31619325,it:Rocce Alte,no,,
584,648758598,Rocca la Meja,,2835,2500+,44.3983677,7.0689381,Valle Stura di Demonte,CN,Alpi Marittime,,,,,,Q2197217,it:Rocca la Meja,no,,
585,5432217913,Caïre du Préfouns,Caïre du Préfouns,2835,2500+,44.16909,7.224991,Valle Gesso,CN,Alpi Marittime,,,,,,,,no,,
586,9703077722,Aiguilles Orientales de l'Orrenaye,,2833,2500+,44.4436445,6.9273332,Valle Maira,CN,Alpi Cozie Sud,,,,,,,,no,,
587,13322283136,Cima Leitosa Centrale,,2833,2500+,45.3361464,7.2351395,Valli di Lanzo,TO,Alpi Graie,,,,,,,,no,,
588,801037663,Mont Aiga,Mont Aiga,2832,2500+,44.3454125,6.9208201,Valle Stura di Demonte,CN,Alpi Marittime,,,,,,,,no,,
589,1802149101,Monte Pence,,2832,2500+,44.5615423,6.9626237,Valle Varaita,CN,Alpi Cozie Sud,,,,,,,,no,,
590,2478216544,Passo Roux,,2832,2500+,44.8598055,7.103905,Val Germanasca,TO,Alpi Cozie Sud,,,,,,,,no,,
591,13343369718,Aiguilles Jean Coste,,2832,2500+,44.4455877,6.9226601,Valle Maira,CN,Alpi Cozie Sud,,,,,,,,no,,
592,5124408497,Punta di Morasco,,2831,2500+,46.415282,8.3742787,Val d'Ossola,VB,Alpi Lepontine,,,,,,Q31657717,,no,,
593,8124655218,Cima della Crocetta,,2831,2500+,45.4109582,7.2691875,Valli di Lanzo,TO,Alpi Graie,,,,,,Q21194598,it:Cima della Crocetta,no,,
594,1432021164,Testa nord di Bresses,Tête Nord des Bresses,2830,2500+,44.1741603,7.245169,Valle Gesso,CN,Alpi Marittime,,,,,,,,no,,
595,3201352958,Pizzi della Satta,,2830,2500+,46.3583259,8.3436699,Val d'Ossola,VB,Alpi Lepontine,,,,,,Q31656546,,no,,
596,1506081911,Cresta delle Lonze,,2829,2500+,46.0032588,8.0404191,Val d'Ossola,VB,Alpi Lepontine,,,,,,Q31649530,,no,,
597,5137051635,Cima senza nome,,2827,2500+,46.3980659,8.3818819,Val d'Ossola,VB,Alpi Lepontine,,,,,,,,no,,
598,13322283135,Cima Leitosa Orientale,,2826,2500+,45.3369815,7.2398917,Valli di Lanzo,TO,Alpi Graie,,,,,,,,no,,
599,1984252088,Cima Chiavesso,,2824,2500+,45.2689157,7.2451889,Valli di Lanzo,TO,Alpi Graie,,,,,,Q21194595,it:Cima Chiavesso,no,,
600,2361683930,Cima senza nome,,2824,2500+,45.4121964,7.2708145,Valli di Lanzo,TO,Alpi Graie,,,,,,,,no,,
601,1802764054,Monte Motta,,2823,2500+,44.9545557,6.9227301,Val Chisone,TO,Alpi Cozie Sud,,,,,,Q3861761,it:Monte Banchetta,no,,
602,9587308246,Tête des Portettes,,2823,2500+,44.1730808,7.2146365,Valle Gesso,CN,Alpi Marittime,,,,,,,,no,,
603,2479536389,Punta Cerisira,,2822,2500+,44.8285709,7.040179,Val Germanasca,TO,Alpi Cozie Sud,,,,,,,,no,,
604,526719692,Punta Savina,,2821,2500+,44.1658261,7.4234933,Valle Gesso,CN,Alpi Marittime,,,,,,,,no,,
605,13342737183,Cima senza nome,,2821,2500+,44.174269,7.2334738,Valle Gesso,CN,Alpi Marittime,,,,,,,,no,,
606,1429752719,Testa di Bresses sud / Tête Sud des Bresses,Tête Sud des Bresses,2820,2500+,44.1716547,7.24366,Valle Gesso,CN,Alpi Marittime,,,,,,,,no,,
607,1859967386,Becco dell'Aquila,,2820,2500+,44.9899787,7.0520825,Val Sangone,TO,Alpi Cozie Nord,,,,,,Q18785394,it:Becco dell'Aquila,no,,
608,3822373065,Monfandì,,2820,2500+,45.5207982,7.6180541,Valle Soana,TO,Alpi Graie,,,,,,Q3860781,it:Monfandì,no,,
609,2102956002,Gran Guglia,,2819,2500+,44.8324119,7.0277969,Val Germanasca,TO,Alpi Cozie Sud,,,,,,Q16561593,it:Gran Guglia,no,,
610,2418688763,Punta Golai,,2819,2500+,45.2644973,7.2411884,Valli di Lanzo,TO,Alpi Graie,,,,,,Q17430405,it:Punta Golai,no,,
611,10313583158,Punta di Balma Rossa,,2818,2500+,46.3951473,8.3876299,Val d'Ossola,VB,Alpi Lepontine,,,,,,,,no,,
612,3959520636,Pizzo Bandiera,,2817,2500+,46.3236762,8.231061,Val d'Ossola,VB,Alpi Lepontine,,,,,,Q31655858,,no,,
613,1966739285,Monte Furgon,,2815,2500+,44.912168,6.8630655,Val Chisone,TO,Alpi Cozie Sud,,,,,,,,no,,
614,2999900578,Monte Jafferau,,2815,2500+,45.0843772,6.7681462,Val di Susa,TO,Alpi Cozie Nord,,,,,,Q11825410,it:Monte Jafferau,no,,
615,5133447858,Punta delle Pile,,2815,2500+,45.8124104,7.8922568,Valle Anzasca,VB,Alpi Pennine,,,,,,,,no,,
616,648758479,Rocca Brancia,,2814,2500+,44.4073668,6.9905925,Valle Maira,CN,Alpi Cozie Sud,,,,,,,,no,,
617,3253300065,Cima delle Lose,,2813,2500+,44.3715259,6.924603,Valle Stura di Demonte,CN,Alpi Marittime,,,,,,Q3676813,it:Cima delle Lose,no,,
618,6420389563,Cima senza nome,,2813,2500+,45.1518969,6.9128694,Val di Susa,TO,Alpi Cozie Nord,,,,,,,,no,,
619,648758473,Rocca Peroni,,2812,2500+,44.4133357,6.9617961,Valle Maira,CN,Alpi Cozie Sud,,,,,,,,no,,
620,2208744563,Frate della Meja,,2812,2500+,45.7589848,7.9238634,Valle non classificata,VC,Gruppo non classificato,,,,,,,,no,,
621,3286285961,Aiguille Occidentale de l'Oronaye,Aiguille Occidentale de l'Oronaye,2812,2500+,44.4483143,6.9179373,Valle Maira,CN,Alpi Cozie Sud,,,,,,,,no,,
622,2397721795,Punta Turiggia,,2811,2500+,46.0663088,8.0619109,Val d'Ossola,VB,Alpi Lepontine,,,,,,Q22628246,,no,,
623,5137051634,Cima senza nome,,2810,2500+,46.3937829,8.3739118,Val d'Ossola,VB,Alpi Lepontine,,,,,,,,no,,
624,10313568120,Punta del Lago Brunni,,2810,2500+,46.4432474,8.3924836,Val d'Ossola,VB,Alpi Lepontine,,,,,,,,no,,
625,648758530,Monte Cerello,,2808,2500+,44.5187844,6.891436,Valle Varaita,CN,Alpi Cozie Sud,,,,,,,,no,,
626,2641588576,Punta della Gavia,,2808,2500+,45.0638395,7.119343,Val di Susa,TO,Alpi Cozie Nord,,,,,,,,no,,
627,2986508251,Monte Carbonè,,2808,2500+,44.1601863,7.4297826,Valle Gesso,CN,Alpi Marittime,,,,,,,,no,,
628,2986508249,Cima del Lago Carbonè,,2807,2500+,44.1573395,7.4350351,Valle Gesso,CN,Alpi Marittime,,,,,,,,no,,
629,4941781098,Cresta del Becco,,2807,2500+,45.1208668,6.7995331,Val di Susa,TO,Alpi Cozie Nord,,,,,,,,no,,
630,6781586171,Monte Immel,,2807,2500+,46.4229359,8.3719082,Val d'Ossola,VB,Alpi Lepontine,,,,,,Q8528304,,no,,
631,4374167912,Beccas del Corborant,Becs du Corborant,2806,2500+,44.247717,7.0048776,Valle Stura di Demonte,CN,Alpi Marittime,,,,,,,,no,,
632,2440748619,Cima del Chiapous,,2805,2500+,44.1894913,7.3224541,Valle Gesso,CN,Alpi Marittime,,,,,,Q31655853,,no,,
633,5432905256,Cime de la Lause,,2805,2500+,44.1878129,7.2009296,Valle Gesso,CN,Alpi Marittime,,,,,,,,no,,
634,9925752434,Cima senza nome,,2805,2500+,45.7606175,7.9231542,Valle non classificata,VC,Gruppo non classificato,,,,,,,,no,,
635,2071580523,Becco dell'Alpetto,,2804,2500+,45.4768174,7.2996659,Valli di Lanzo,TO,Alpi Graie,,,,,,,,no,,
636,2146513198,La Mait d'Amunt,La Mait d'Amunt,2804,2500+,44.798643,7.0096237,Valle non classificata,TO,Gruppo non classificato,,,,,,,,no,,
637,4941781096,Cima senza nome,,2804,2500+,45.116433,6.815283,Val di Susa,TO,Alpi Cozie Nord,,,,,,,,no,,
638,6420389567,Truc Rion,,2804,2500+,45.1287275,6.9017727,Val di Susa,TO,Alpi Cozie Nord,,,,,,,,no,,
639,6345212590,Pelvo di Massello,,2803,2500+,44.9643931,6.9989355,Val Chisone,TO,Alpi Cozie Sud,,,,,,,,no,,
640,2493482414,Corno di Mud,,2802,2500+,45.8843114,7.9632221,Valle Anzasca,VB,Alpi Pennine,,si,,,,Q31666756,,no,,
641,1054279971,Punta Cristalliera,,2801,2500+,45.0544155,7.1469901,Val di Susa,TO,Alpi Cozie Nord,,si,,,,Q3925662,it:Punta Cristalliera,no,,
642,1625220219,Cima della Lombarda,Cime de la Lombarde,2800,2500+,44.2081158,7.1632351,Valle Stura di Demonte,CN,Alpi Marittime,,,,,,Q2972422,fr:Cime de la Lombarde,no,,
643,1922355165,La Madre di Dio,,2800,2500+,44.1705593,7.2902808,Valle Gesso,CN,Alpi Marittime,,,,,,Q3820954,it:La Madre di Dio,no,,
644,3201352956,Monte Minoia,,2800,2500+,46.362456,8.3411445,Val d'Ossola,VB,Alpi Lepontine,,,,,,Q31656695,,no,,
645,5934126145,Cima senza nome,,2800,2500+,44.9562849,6.9862311,Val Chisone,TO,Alpi Cozie Sud,,,,,,,,no,,
646,6051334919,Cima senza nome,,2800,2500+,44.6706634,7.0455998,Valle Varaita,TO,Alpi Cozie Sud,,,,,,,,no,,
647,6068983117,Cima senza nome,,2800,2500+,44.5895824,6.9673449,Valle Varaita,CN,Alpi Cozie Sud,,,,,,,,no,,
648,1845166064,Punta Founset,,2798,2500+,44.8687877,7.0962036,Val Chisone,TO,Alpi Cozie Sud,,,,,,Q98118894,,no,,
649,4593664778,Pizzo Quarazzola,,2798,2500+,45.9231116,8.0075318,Valle Anzasca,VB,Alpi Pennine,,,,,,,,no,,
650,2698638876,Cima sud di Valrossa,,2797,2500+,44.2074778,7.2083691,Valle Stura di Demonte,CN,Alpi Marittime,,,,,,Q31655776,,no,,
651,2950290831,Monte Peiron,,2796,2500+,44.326552,6.9571589,Valle Stura di Demonte,CN,Alpi Marittime,,,,,,,,no,,
652,306970230,Cime de Tavels,Cime de Tavels,2795,2500+,44.1870854,7.1935892,Valle Gesso,CN,Alpi Marittime,,,,,,Q113834544,,no,,
653,801333300,Pel Brun,Pel Brun,2795,2500+,44.3516323,6.9220103,Valle Stura di Demonte,CN,Alpi Marittime,,,,,,,,no,,
654,2428108373,Pizzo Lamè,,2794,2500+,46.0027386,8.0591896,Val d'Ossola,VB,Alpi Lepontine,,,,,,,,no,,
655,2430563591,Cima la Rossa,,2793,2500+,45.2728011,7.2633763,Valli di Lanzo,TO,Alpi Graie,,,,,,,,no,,
656,2891570689,Pizzo Quadro,,2793,2500+,46.2982934,8.4277183,Val d'Ossola,VB,Alpi Lepontine,,,,,,Q1772906,it:Pizzo Quadro (Alpi Ticinesi e del Verbano),no,,
657,1907533225,Punta Ciamberline,,2792,2500+,44.1652932,7.3577893,Valle Gesso,CN,Alpi Marittime,,,,,,,,no,,
658,6677744484,Corona di Groppo,,2792,2500+,46.2987183,8.4181025,Val d'Ossola,VB,Alpi Lepontine,,,,,,Q31655514,,no,,
659,9844249485,Cima senza nome,,2792,2500+,46.0032751,8.0614384,Val d'Ossola,VB,Alpi Lepontine,,,,,,,,no,,
660,11919249635,l'Agugliassa,,2791,2500+,44.7405999,7.0604848,Val Pellice,TO,Alpi Cozie Sud,,,,,,Q31675163,,no,,
661,5434271794,Cima senza nome,,2790,2500+,45.1226006,6.797833,Val di Susa,TO,Alpi Cozie Nord,,,,,,,,no,,
662,4593664777,Pizzo Montevecchio,,2789,2500+,45.9128278,7.9994834,Valle Anzasca,VB,Alpi Pennine,,,,,,,,no,,
663,2981134950,Cima della Valletta piccola,,2787,2500+,44.1500555,7.438616,Valle Gesso,CN,Alpi Marittime,,,,,,,,no,,
664,1372955568,Hireli,,2786,2500+,46.3532503,8.4615213,Val d'Ossola,VB,Alpi Lepontine,,,,,,Q31656395,,no,,
665,5474329931,Cresta di Curzalma,,2785,2500+,46.3742934,8.334074,Val d'Ossola,VB,Alpi Lepontine,,,,,,,,no,,
