ID OSM,Nome cima,Quota cima,Tag altitudine,Valle,Catena,Provincia
306970230,Cime de Tavels,2795,2500+,Valle Gesso,Alpi Marittime,CN
801333300,Pel Brun,2795,2500+,Valle Stura di Demonte,Alpi Marittime,CN
2428108373,Pizzo Lamè,2794,2500+,Val d'Ossola,Alpi Lepontine,VB
2430563591,Cima la Rossa,2793,2500+,Valli di Lanzo,Alpi Graie,TO
2891570689,Pizzo Quadro,2793,2500+,Val d'Ossola,Alpi Lepontine,VB
1907533225,Punta Ciamberline,2792,2500+,Valle Gesso,Alpi Marittime,CN
6677744484,Corona di Groppo,2792,2500+,Val d'Ossola,Alpi Lepontine,VB
11919249635,l'Agugliassa,2791,2500+,Val Pellice,Alpi Cozie Sud,TO
4593664777,Pizzo Montevecchio,2789,2500+,Valle Anzasca,Alpi Pennine,VB
2981134950,Cima della Valletta piccola,2787,2500+,Valle Gesso,Alpi Marittime,CN
1372955568,Hireli,2786,2500+,Val d'Ossola,Alpi Lepontine,VB
5474329931,Cresta di Curzalma,2785,2500+,Val d'Ossola,Alpi Lepontine,VB
9006582535,Punta Vallonetto,2785,2500+,Val Chisone,Alpi Cozie Sud,TO
1952547450,Cima Giardonera,2784,2500+,Valli di Lanzo,Alpi Graie,TO
12985609356,Rocce San Giacomo,2783,2500+,Val Chisone,Alpi Cozie Sud,TO
648758485,Monte Cassorso E,2782,2500+,Valle Maira,Alpi Cozie Sud,CN
5133199816,Corno Mutt,2782,2500+,Val d'Ossola,Alpi Lepontine,VB
2076418191,Punta Fertà,2781,2500+,Valli di Lanzo,Alpi Graie,TO
2440748620,Cima del Dragonet,2781,2500+,Valle Gesso,Alpi Marittime,CN
1907533231,Punta del Baus,2779,2500+,Valle Gesso,Alpi Marittime,CN
1907533233,Punta della Rua,2779,2500+,Valle Gesso,Alpi Marittime,CN
996434701,Monte Rocciavré,2778,2500+,Val Sangone,Alpi Cozie Nord,TO
5024732140,Cime de Vermeil,2778,2500+,Valle Stura di Demonte,Alpi Marittime,CN
11233277292,Becca d'Arnas,2777,2500+,Valli di Lanzo,Alpi Graie,TO
2479536239,Punta Fiunira,2776,2500+,Val Germanasca,Alpi Cozie Sud,TO
2927706492,Monte Cassorso W,2776,2500+,Valle Maira,Alpi Cozie Sud,CN
306981723,Becco Grande,2775,2500+,Valle Stura di Demonte,Alpi Marittime,CN
1953094085,Pointe de la Reculaye / Punta della Reculaye,2775,2500+,Valle non classificata,Gruppo non classificato,CN
6821214533,Pizzo Pojala,2773,2500+,Val d'Ossola,Alpi Lepontine,VB
13101333873,Becco Grande Ovest,2773,2500+,Valle Stura di Demonte,Alpi Marittime,CN
944084183,Geisspfadspitzen - Südgipfel,2772,2500+,Val d'Ossola,Alpi Lepontine,VB
1374676199,Cima di Mercantour / Cime du Mercantour,2772,2500+,Valle Gesso,Alpi Marittime,CN
1947181128,Punta Lunella,2772,2500+,Val di Susa,Alpi Cozie Nord,TO
6913787608,Pizzo Taramona,2772,2500+,Val d'Ossola,Alpi Lepontine,VB
11961400975,Monte Rocciavrè Occidentale,2772,2500+,Val Sangone,Alpi Cozie Nord,TO
2667580938,Monte Morefreddo,2770,2500+,Val Chisone,Alpi Cozie Sud,TO
3652786158,Monte Pelvo,2770,2500+,Val di Susa,Alpi Cozie Nord,TO
3711980293,Bochtehorn,2770,2500+,Val d'Ossola,Alpi Lepontine,VB
1951367161,Cime des Blanches / Testa del Ferro,2769,2500+,Valle Stura di Demonte,Alpi Marittime,CN
2641588578,Punta di Mezzodì,2769,2500+,Val di Susa,Alpi Cozie Nord,TO
4017739725,Falso Oserot,2768,2500+,Valle Stura di Demonte,Alpi Marittime,CN
648758447,Monte Giordano,2766,2500+,Valle Stura di Demonte,Alpi Marittime,CN
1244932654,Pizzo Crampiolo Sud,2766,2500+,Val d'Ossola,Alpi Lepontine,VB
3822368037,Monte Giavino,2766,2500+,Valle Soana,Alpi Graie,TO
3711980296,Corno di Valdeserta,2765,2500+,Val d'Ossola,Alpi Lepontine,VB
1945773428,Monte Rosso d'Ala,2763,2500+,Valli di Lanzo,Alpi Graie,TO
439419395,Rocce Founs,2762,2500+,Val Pellice,Alpi Cozie Sud,TO
1509617443,Testa dell'Autaret / Tête de l'Autaret,2761,2500+,Valle Stura di Demonte,Alpi Marittime,CN
5290723787,Dosso Grinner,2761,2500+,Valle Anzasca,Alpi Pennine,VB
7016681789,Pèira Chatel,2761,2500+,Val di Susa,Alpi Cozie Nord,TO
1527341080,Grand'Hoche,2760,2500+,Valle non classificata,Gruppo non classificato,TO
1618729481,Cima di Collalunga / Cime de Colle Longue,2760,2500+,Valle Stura di Demonte,Alpi Marittime,CN
1907533229,Punta Gelas Fenestrelle,2760,2500+,Valle Gesso,Alpi Marittime,CN
13316759033,Testa della Costabella del Piz,2760,2500+,Valle Stura di Demonte,Alpi Marittime,CN
1944335789,Rocca Turo,2759,2500+,Valli di Lanzo,Alpi Graie,TO
5129700088,Punta delle Pisse,2759,2500+,Valle Anzasca,Alpi Pennine,VB
1619460021,Cima Dorlier,2758,2500+,Val Chisone,Alpi Cozie Sud,TO
648758481,Monte Servagno,2757,2500+,Valle Stura di Demonte,Alpi Marittime,CN
1244935687,Pizzo Fizzi,2757,2500+,Val d'Ossola,Alpi Lepontine,VB
921189616,Rocca Jarea,2756,2500+,Valle Varaita,Alpi Cozie Sud,TO
3212697214,Monte Marzo,2756,2500+,Valle Soana,Alpi Graie,TO
